Last,First,HOF,From,To,Position,Ht,Wt,Month,Day,Year,Country
Tonelli,John,N,1979,1992,F,73,200,March,23,1957,Canada
Millen,Greg,N,1979,1992,G,69,175,June,25,1957,Canada
Linseman,Ken,N,1979,1992,F,71,180,August,11,1958,Canada
Smith,Bobby,N,1979,1993,F,76,210,February,12,1958,Canada
Marsh,Brad,N,1979,1993,D,75,220,March,31,1958,Canada
Walter,Ryan,N,1979,1993,F,73,200,April,23,1958,Canada
Langway,Rod,Y,1979,1993,D,75,218,May,3,1957,Taiwan
Lemelin,Reggie,N,1979,1993,G,71,170,November,19,1954,Canada
Stewart,John,N,1980,1980,F,73,180,January,2,1954,Canada
Hill,Brian,N,1980,1980,F,73,175,January,12,1957,Canada
Bethel,John,N,1980,1980,F,71,185,January,15,1957,Canada
Makkonen,Kari,N,1980,1980,F,73,191,January,20,1955,Finland
Markham,Ray,N,1980,1980,F,75,220,January,23,1958,Canada
Peters,Steve,N,1980,1980,F,71,186,January,23,1960,Canada
Stephenson,Bob,N,1980,1980,F,73,187,February,1,1954,Canada
Rioux,Gerry,N,1980,1980,F,71,195,February,17,1959,Canada
Luksa,Charlie,N,1980,1980,D,73,190,February,19,1954,Canada
Cutts,Don,N,1980,1980,G,75,190,February,24,1953,Canada
Carter,Ron,N,1980,1980,F,73,205,March,14,1958,Canada
Stewart,Paul,N,1980,1980,F,73,205,March,21,1954,USA
Toal,Mike,N,1980,1980,F,73,175,March,23,1959,Canada
Warner,Jim,N,1980,1980,F,71,180,March,26,1954,USA
Sjoberg,Lars-Erik,N,1980,1980,D,68,179,April,5,1944,Sweden
Gorman,Dave,N,1980,1980,F,71,185,April,8,1955,Canada
Lehtonen,Antero,N,1980,1980,F,73,185,April,12,1954,Finland
Thomas,Reg,N,1980,1980,F,70,185,April,21,1953,Canada
Stewart,Jim,N,1980,1980,G,71,170,April,23,1957,USA
MacIver,Don,N,1980,1980,D,73,200,May,3,1955,Canada
Larose,Claude,N,1980,1980,F,70,175,May,17,1955,Canada
Hodgson,Rick,N,1980,1980,D,73,175,May,23,1956,Canada
Robinson,Moe,N,1980,1980,D,76,175,May,29,1957,Canada
Johnston,Randy,N,1980,1980,D,73,190,June,2,1958,Canada
Areshenkoff,Ron,N,1980,1980,F,73,175,June,13,1957,Canada
Levasseur,Jean-Louis,N,1980,1980,G,70,160,June,16,1949,Canada
Corsi,Jim,N,1980,1980,G,70,180,June,19,1954,Canada
Amodeo,Mike,N,1980,1980,D,70,190,June,22,1952,Canada
Schurman,Maynard,N,1980,1980,F,75,205,July,16,1957,Canada
Plumb,Ron,N,1980,1980,D,70,175,July,17,1950,Canada
Tomalty,Glenn,N,1980,1980,F,73,205,July,23,1954,Canada
Howse,Don,N,1980,1980,F,73,182,July,28,1952,Canada
Bilodeau,Gilles,N,1980,1980,F,73,220,July,31,1955,Canada
Carlson,Steve,N,1980,1980,F,75,180,August,26,1955,USA
Baltimore,Bryon,N,1980,1980,D,74,190,August,26,1952,Canada
Dupuis,Bob,N,1980,1980,G,71,167,August,26,1952,Canada
Morrison,Kevin,N,1980,1980,D,73,202,October,28,1949,Canada
Mayer,Jim,N,1980,1980,F,73,190,October,30,1954,Canada
Noel,Claude,N,1980,1980,F,71,165,October,31,1955,Canada
Guindon,Bobby,N,1980,1980,F,69,175,November,19,1950,Canada
Beaudoin,Serge,N,1980,1980,D,74,215,November,30,1952,Canada
Hazlett,Steve,N,1980,1980,F,69,170,December,12,1957,Canada
Laird,Rob,N,1980,1980,F,69,165,December,29,1954,Canada
Ingarfield,Earl,N,1980,1981,F,71,180,January,30,1959,USA
Cory,Ross,N,1980,1981,D,74,195,February,4,1957,Canada
Sturgeon,Peter,N,1980,1981,F,74,198,February,12,1954,Canada
Clackson,Kim,N,1980,1981,D,71,195,February,13,1955,Canada
Hughes,John,N,1980,1981,D,71,200,March,18,1954,Canada
Debol,Dave,N,1980,1981,F,71,175,March,27,1956,USA
Daley,Pat,N,1980,1981,F,73,176,March,27,1959,France
Chipperfield,Ron,N,1980,1981,F,71,186,March,28,1954,Canada
Crha,Jiri,N,1980,1981,G,71,170,April,13,1950,Czech Republic
Fontas,Jon,N,1980,1981,F,70,185,April,16,1955,USA
Watson,Dave,N,1980,1981,F,74,190,May,19,1958,Canada
Berry,Doug,N,1980,1981,F,73,190,June,3,1957,Canada
Saunders,Bernie,N,1980,1981,F,73,190,June,21,1956,Canada
Sullivan,Peter,N,1980,1981,F,69,165,July,25,1951,Canada
