"grad4","grad6","cohort","name","control","endow","medSAT","fulltime","fulltimefac","pell"
4,32,25,"Winona State University","Public",1665,1070,92.3,62,15
41.4,62.1,29,"University of Mississippi","Public",25736,1084,92.7,88,25
33.3,54.5,33,"Mississippi State University","Public",16969,1074,90.6,94,45
19,33.3,21,"University of Southern Mississippi","Public",4272,972,85.9,81,82
46.2,74.8,119,"University of Missouri at Columbia","Public",18114,1171,94.3,56,8
17.1,67.1,82,"University of Missouri at Kansas City","Public",14350,1110,68.5,44,34
23.8,66.7,21,"Missouri University of Science and Technology","Public",19605,1261,90.8,77,24
48.1,74.1,27,"Truman State University","Public",3541,1242,96.3,94,7
65.3,74.7,95,"Saint Louis University","Private not-for-profit",55326,1219,56.6,57,6
23.3,53.5,43,"Missouri State University","Public",2916,1111,78.3,59,30
91,96.6,177,"Washington University in St. Louis","Private not-for-profit",426930,1462,88,73,1
19.2,42.3,26,"Montana State University at Bozeman","Public",7868,1117,83.1,64,32
68.3,79.3,82,"Creighton University","Private not-for-profit",26164,1198,93.4,73,15
17.9,43.6,39,"University of Nebraska at Omaha","Public",313,1070,79.1,33,23
13.3,57.3,75,"University of Nebraska at Lincoln","Public",6650,1152,93.5,84,9
15.4,43,505,"University of Nevada at Las Vegas","Public",5189,1013,73.3,43,24
18.9,53.8,143,"University of Nevada at Reno","Public",14265,1055,80.6,32,7
92.5,97.3,147,"Dartmouth College","Private not-for-profit",509901,1442,98.6,87,10
30,61.7,60,"University of New Hampshire","Public",13222,1105,96,49,6
57.7,61.5,26,"Drew University","Private not-for-profit",69471,1118,95.9,63,26
25,50,24,"Fairleigh Dickinson University","Private not-for-profit",2604,990,41.5,18,23
39.6,66,53,"Rowan University","Public",11199,1085,86.1,12,27
11.4,47.7,44,"New Jersey City University","Public",650,836,74.8,7,87
20,54.7,95,"Kean University","Public",859,920,78,3,56
28.1,60.3,121,"Montclair State University","Public",2125,1010,85.3,10,37
20,62.3,130,"New Jersey Institute of Technology","Public",8745,1125,81.6,57,50
90.1,98,152,"Princeton University","Private not-for-profit",1891913,1482,100,89,3
55.6,61.1,36,"Ramapo College of New Jersey","Public",1122,1110,90.9,19,14
43.3,46.7,30,"Rider University","Private not-for-profit",8748,1054,84.9,37,26
20.4,66.7,54,"Rutgers University at Camden","Public",6197,1070,80.7,27,64
52.3,81.5,1203,"Rutgers University at New Brunswick","Public",12369,1190,95.2,65,29
33.8,67.6,219,"Rutgers University at Newark","Public",6481,1065,78.6,56,71
37.2,60.5,43,"Saint Peter's College","Private not-for-profit",8948,963,88.9,35,80
47.9,56.3,71,"Seton Hall University","Private not-for-profit",23153,1086,90.8,45,34
50,85.3,34,"Stevens Institute of Technology","Private not-for-profit",26056,1256,99.7,60,24
36.4,66.7,33,"Richard Stockton College of New Jersey","Public",1570,1049,89,31,35
79.1,87.2,86,"College of New Jersey","Public",2682,1250,97.4,21,3
26,57.3,96,"William Paterson University","Public",518,988,84.5,8,47
15,48,100,"University of New Mexico","Public",12557,1041,75.4,26,54
14.3,42.9,21,"New Mexico State University at Las Cruces","Public",5602,982,85.5,63,71
42.5,60,40,"Adelphi University","Private not-for-profit",14112,1078,87.8,21,31
84.8,93.5,92,"Barnard College","Private not-for-profit",79937,1344,97.7,58,16
31.8,36.4,22,"Berkeley College New York City Campus","Private for-profit",NA,NA,87.2,75,25
61.9,76.2,21,"Canisius College","Private not-for-profit",19255,1096,89.4,36,41
77.1,85.4,48,"Colgate University","Private not-for-profit",221862,1363,99.4,96,2
87.7,93.4,227,"Columbia University","Private not-for-profit",279619,1455,87.3,62,15
63.6,93.9,33,"Cooper Union for the Advancement of Science and Art","Private not-for-profit",526981,1366,99.6,9,14
88.6,94.8,518,"Cornell University","Private not-for-profit",159687,1394,99.9,94,10
38.3,66.9,608,"City University of New York Bernard M. Baruch College","Public",6386,1180,76.4,22,70
17.1,45.7,199,"City University of New York Brooklyn College","Public",4029,1090,70.7,12,82
29,45.2,31,"City University of New York College of Staten Island","Public",430,1000,74.1,8,66
11.9,45.2,252,"City College of City University of New York","Public",11095,1030,75.9,12,85
15,46.4,453,"Hunter College of the City University of New York","Public",3105,1125,70.3,11,55
27.4,52.4,84,"City University of New York John Jay College of Criminal Justice","Public",255,935,75.6,13,88
16.7,41.7,48,"Herbert H. Lehman College of City University of New York","Public",693,975,59.4,16,90
2.1,29.2,48,"New York City College of Technology/City University of New York","Public",961,900,60.5,8,90
15.8,43.5,285,"City University of New York Queens College","Public",1666,1075,73.3,15,53
8.1,20.9,86,"City University of New York York College","Public",86,895,62.8,15,86
81.2,86.3,117,"Fordham University","Private not-for-profit",26160,1253,92.5,45,22
86.7,90,30,"Hamilton College (N.Y.)","Private not-for-profit",327841,1359,99.1,89,4
41.3,58.7,75,"Hofstra University","Private not-for-profit",20556,1186,92.1,43,19
68.8,81.3,48,"Ithaca College","Private not-for-profit",24642,1166,98.3,75,19
13.7,28.8,73,"Long Island University at Brooklyn","Private not-for-profit",0,895,83.6,39,86
22.7,27.3,22,"Long Island University-C.W. Post Campus","Private not-for-profit",0,990,50.9,28,7
58.3,66.7,24,"Manhattan College","Private not-for-profit",14012,1098,97,50,22
70.8,75,24,"Marist College","Private not-for-profit",21994,1157,87.3,31,8
61.8,88.2,34,"College of Mount Saint Vincent","Private not-for-profit",3878,920,84.3,27,75
57.9,77.2,114,"New School","Private not-for-profit",21731,1104,85,7,35
87.1,91.8,669,"New York University","Private not-for-profit",54017,1340,94.2,36,19
36.9,49.5,111,"New York Institute of Technology at Old Westbury","Private not-for-profit",4184,1036,81.6,9,52
44.3,60.3,131,"Pace University New York Campus","Private not-for-profit",9880,1090,83.9,28,43
43,65,100,"Polytechnic Institute of New York University","Private not-for-profit",27812,1276,95.9,44,77
36.6,67.6,71,"Pratt Institute","Private not-for-profit",16296,1166,94.5,3,35
65.2,80.4,112,"Rensselaer Polytechnic Institute","Private not-for-profit",87402,1333,99.6,90,10
26.5,66.2,136,"Rochester Institute of Technology","Private not-for-profit",41629,1210,91.8,71,43
77.2,88,92,"University of Rochester","Private not-for-profit",142442,1336,95.2,96,18
75.9,89.7,29,"Siena College","Private not-for-profit",35819,1130,94.6,61,19
66.7,75,36,"Skidmore College","Private not-for-profit",106722,1246,98.4,83,10
26.4,62,516,"St. John's University (N.Y.)","Private not-for-profit",17354,1090,75.1,39,55
52.9,69.3,140,"State University of New York at Albany","Public",1834,1122,93.7,41,49
61.1,80.4,409,"Binghamton University","Public",4364,1288,96.6,60,26
39.4,70.3,259,"University at Buffalo","Public",14986,1159,92.9,47,32
52.6,71.3,574,"State University of New York at Stony Brook","Public",4348,1212,92.1,45,49
20.6,38.2,34,"Buffalo State College","Public",1618,974,89.2,28,93
39.5,66.7,81,"State University of New York College at Geneseo","Public",2099,1296,97.8,62,9
52.9,64.7,34,"State University of New York College at New Paltz","Public",1441,1134,92.4,24,23
18.5,48.1,27,"State University of New York College at Oneonta","Public",4471,1094,98,29,38
30,46.7,30,"State University of New York College at Oswego","Public",988,1115,94.7,40,57
23.1,38.5,26,"State University of New York College at Purchase","Public",9758,1098,90.9,14,34
24.1,31,29,"State University of New York College at Old Westbury","Public",40,991,83.7,20,78
39.1,60.9,23,"State University of New York College at Plattsburgh","Public",1833,1037,94.4,36,44
13.6,27.3,22,"State University of New York Maritime College","Public",933,1078,91.6,43,21
64.9,76.8,168,"Syracuse University","Private not-for-profit",35080,1166,95.1,70,31
74.4,87.2,39,"Union College (N.Y.)","Private not-for-profit",147444,NA,98.8,88,10
0,20.8,24,"United Talmudical Seminary","Private not-for-profit",NA,NA,100,18,97
78.2,80.8,78,"United States Military Academy","Public",NA,1243,100,98,NA
92.9,94.3,70,"Vassar College","Private not-for-profit",285225,1383,98.2,90,11
67.6,72.1,68,"School of Visual Arts","Private for-profit",NA,1034,93,35,3
20.5,64.1,39,"Appalachian State University","Public",3395,1151,94.5,61,16
92.1,95.8,216,"Duke University","Private not-for-profit",318956,1430,99.8,97,4
33,55.7,88,"East Carolina University","Public",3915,1032,86.5,85,30
52.4,66.7,21,"High Point University","Private not-for-profit",9940,1080,95.8,57,22
75.2,89.1,258,"University of North Carolina at Chapel Hill","Public",68455,1302,94.3,89,6
29.9,60.4,144,"University of North Carolina at Charlotte","Public",5720,1047,85.3,62,50
27.4,54.8,73,"University of North Carolina at Greensboro","Public",10061,1020,88.1,78,45
46.1,77,165,"North Carolina State University","Public",16660,1178,87.7,90,9
31,55.2,29,"University of North Carolina at Wilmington","Public",4264,1157,90.6,64,17
81.8,89.1,55,"Wake Forest University","Private not-for-profit",134228,NA,98.6,85,3
28.1,50,32,"University of North Dakota","Public",902,1050,82.9,95,14
20,48,25,"North Dakota State University","Public",28,1090,90.3,98,11
33.3,58.7,63,"University of Akron","Public",2021,NA,79.2,17,63
